LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUS;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
AUT;SIGI;DISCRIMFAMCODE;IDX;A;2019;22.1;
BEL;SIGI;DISCRIMFAMCODE;IDX;A;2019;22;
CAN;SIGI;DISCRIMFAMCODE;IDX;A;2019;26.5;
CZE;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.3;
DNK;SIGI;DISCRIMFAMCODE;IDX;A;2019;15;
FIN;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
FRA;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.6;
DEU;SIGI;DISCRIMFAMCODE;IDX;A;2019;18.1;
GRC;SIGI;DISCRIMFAMCODE;IDX;A;2019;45.1;
ISL;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
IRL;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
ITA;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
JPN;SIGI;DISCRIMFAMCODE;IDX;A;2019;20.2;
KOR;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
LUX;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.9;
MEX;SIGI;DISCRIMFAMCODE;IDX;A;2019;60.4;
NLD;SIGI;DISCRIMFAMCODE;IDX;A;2019;23.8;
NZL;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.9;
NOR;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.3;
POL;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.9;
PRT;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
SVK;SIGI;DISCRIMFAMCODE;IDX;A;2019;26.5;
ESP;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.7;
SWE;SIGI;DISCRIMFAMCODE;IDX;A;2019;15.1;
CHE;SIGI;DISCRIMFAMCODE;IDX;A;2019;0.1;
TUR;SIGI;DISCRIMFAMCODE;IDX;A;2019;33.2;
GBR;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.6;
USA;SIGI;DISCRIMFAMCODE;IDX;A;2019;26.6;
ALB;SIGI;DISCRIMFAMCODE;IDX;A;2019;33.3;
DZA;SIGI;DISCRIMFAMCODE;IDX;A;2019;79.9;
ARG;SIGI;DISCRIMFAMCODE;IDX;A;2019;23.1;
ARM;SIGI;DISCRIMFAMCODE;IDX;A;2019;33;
AZE;SIGI;DISCRIMFAMCODE;IDX;A;2019;28.2;
BGD;SIGI;DISCRIMFAMCODE;IDX;A;2019;82.9;
BLR;SIGI;DISCRIMFAMCODE;IDX;A;2019;31.6;
BIH;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.4;
BRA;SIGI;DISCRIMFAMCODE;IDX;A;2019;28;
BGR;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.5;
KHM;SIGI;DISCRIMFAMCODE;IDX;A;2019;34.2;
CHL;SIGI;DISCRIMFAMCODE;IDX;A;2019;36.4;
CHN;SIGI;DISCRIMFAMCODE;IDX;A;2019;18.4;
COL;SIGI;DISCRIMFAMCODE;IDX;A;2019;9.6;
HRV;SIGI;DISCRIMFAMCODE;IDX;A;2019;22;
CYP;SIGI;DISCRIMFAMCODE;IDX;A;2019;42.3;
EGY;SIGI;DISCRIMFAMCODE;IDX;A;2019;78.6;
EST;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
ETH;SIGI;DISCRIMFAMCODE;IDX;A;2019;34.8;
GEO;SIGI;DISCRIMFAMCODE;IDX;A;2019;34;
GHA;SIGI;DISCRIMFAMCODE;IDX;A;2019;59.5;
HTI;SIGI;DISCRIMFAMCODE;IDX;A;2019;37.6;
HKG;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
IND;SIGI;DISCRIMFAMCODE;IDX;A;2019;46.9;
IDN;SIGI;DISCRIMFAMCODE;IDX;A;2019;63.1;
IRN;SIGI;DISCRIMFAMCODE;IDX;A;2019;89.9;
ISR;SIGI;DISCRIMFAMCODE;IDX;A;2019;46.8;
KAZ;SIGI;DISCRIMFAMCODE;IDX;A;2019;22.4;
LVA;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
LTU;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.3;
MKD;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.7;
MYS;SIGI;DISCRIMFAMCODE;IDX;A;2019;80.8;
MDA;SIGI;DISCRIMFAMCODE;IDX;A;2019;23;
MOZ;SIGI;DISCRIMFAMCODE;IDX;A;2019;32;
NGA;SIGI;DISCRIMFAMCODE;IDX;A;2019;54.8;
PAK;SIGI;DISCRIMFAMCODE;IDX;A;2019;79.8;
PRY;SIGI;DISCRIMFAMCODE;IDX;A;2019;46.1;
PER;SIGI;DISCRIMFAMCODE;IDX;A;2019;47.7;
PHL;SIGI;DISCRIMFAMCODE;IDX;A;2019;67.2;
ROU;SIGI;DISCRIMFAMCODE;IDX;A;2019;28;
RUS;SIGI;DISCRIMFAMCODE;IDX;A;2019;22.6;
SAU;SIGI;DISCRIMFAMCODE;IDX;A;2019;89;
SGP;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.4;
SVN;SIGI;DISCRIMFAMCODE;IDX;A;2019;21.8;
ZAF;SIGI;DISCRIMFAMCODE;IDX;A;2019;33.2;
SDN;SIGI;DISCRIMFAMCODE;IDX;A;2019;89.9;
TZA;SIGI;DISCRIMFAMCODE;IDX;A;2019;80.6;
THA;SIGI;DISCRIMFAMCODE;IDX;A;2019;33.4;
UKR;SIGI;DISCRIMFAMCODE;IDX;A;2019;22.5;
ARE;SIGI;DISCRIMFAMCODE;IDX;A;2019;86.7;
URY;SIGI;DISCRIMFAMCODE;IDX;A;2019;27.6;
VNM;SIGI;DISCRIMFAMCODE;IDX;A;2019;23.3;
ZMB;SIGI;DISCRIMFAMCODE;IDX;A;2019;40.7;
SRB;SIGI;DISCRIMFAMCODE;IDX;A;2019;32.9;
AFG;SIGI;DISCRIMFAMCODE;IDX;A;2019;81.3;
