LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUS;SIGI;RESTRRESASSETS;IDX;A;2019;4.9;
AUT;SIGI;RESTRRESASSETS;IDX;A;2019;4;
BEL;SIGI;RESTRRESASSETS;IDX;A;2019;3.3;
CAN;SIGI;RESTRRESASSETS;IDX;A;2019;17.4;
CZE;SIGI;RESTRRESASSETS;IDX;A;2019;11.9;
DNK;SIGI;RESTRRESASSETS;IDX;A;2019;4.8;
FIN;SIGI;RESTRRESASSETS;IDX;A;2019;3.8;
FRA;SIGI;RESTRRESASSETS;IDX;A;2019;3.6;
DEU;SIGI;RESTRRESASSETS;IDX;A;2019;13.1;
GRC;SIGI;RESTRRESASSETS;IDX;A;2019;33.3;
HUN;SIGI;RESTRRESASSETS;IDX;A;2019;23.4;
IRL;SIGI;RESTRRESASSETS;IDX;A;2019;15.9;
ITA;SIGI;RESTRRESASSETS;IDX;A;2019;8;
JPN;SIGI;RESTRRESASSETS;IDX;A;2019;29.6;
KOR;SIGI;RESTRRESASSETS;IDX;A;2019;33;
LUX;SIGI;RESTRRESASSETS;IDX;A;2019;7.3;
MEX;SIGI;RESTRRESASSETS;IDX;A;2019;17.5;
NLD;SIGI;RESTRRESASSETS;IDX;A;2019;5;
NZL;SIGI;RESTRRESASSETS;IDX;A;2019;4.3;
NOR;SIGI;RESTRRESASSETS;IDX;A;2019;2.2;
POL;SIGI;RESTRRESASSETS;IDX;A;2019;15.3;
PRT;SIGI;RESTRRESASSETS;IDX;A;2019;3.2;
SVK;SIGI;RESTRRESASSETS;IDX;A;2019;7.5;
ESP;SIGI;RESTRRESASSETS;IDX;A;2019;10.5;
SWE;SIGI;RESTRRESASSETS;IDX;A;2019;2.1;
CHE;SIGI;RESTRRESASSETS;IDX;A;2019;11.9;
TUR;SIGI;RESTRRESASSETS;IDX;A;2019;36.6;
GBR;SIGI;RESTRRESASSETS;IDX;A;2019;9.5;
USA;SIGI;RESTRRESASSETS;IDX;A;2019;10.6;
ALB;SIGI;RESTRRESASSETS;IDX;A;2019;26;
DZA;SIGI;RESTRRESASSETS;IDX;A;2019;41.2;
ARG;SIGI;RESTRRESASSETS;IDX;A;2019;23;
ARM;SIGI;RESTRRESASSETS;IDX;A;2019;23.4;
AZE;SIGI;RESTRRESASSETS;IDX;A;2019;20.9;
BGD;SIGI;RESTRRESASSETS;IDX;A;2019;52.1;
BLR;SIGI;RESTRRESASSETS;IDX;A;2019;14.7;
BIH;SIGI;RESTRRESASSETS;IDX;A;2019;30.6;
BRA;SIGI;RESTRRESASSETS;IDX;A;2019;17.5;
BGR;SIGI;RESTRRESASSETS;IDX;A;2019;29.7;
KHM;SIGI;RESTRRESASSETS;IDX;A;2019;27.6;
CHL;SIGI;RESTRRESASSETS;IDX;A;2019;64.8;
